graph_size,run,augmentation_ratio,requested_loose_edges,original_objective,two_phase_objective,interleaved_objective,two_phase_improvement_vs_original,interleaved_improvement_vs_original,original_runtime_ms,two_phase_runtime_ms,interleaved_runtime_ms,two_phase_runtime_ratio_vs_original,interleaved_runtime_ratio_vs_original,original_move_operations,two_phase_move_operations,interleaved_move_operations,two_phase_replication_operations,interleaved_replication_operations,two_phase_final_replica_count,interleaved_final_replica_count,original_firstfit_objective,two_phase_firstfit_objective,interleaved_firstfit_objective,original_firstfit_improvement_vs_original,two_phase_firstfit_improvement_vs_original,interleaved_firstfit_improvement_vs_original,two_phase_firstfit_improvement_vs_original_firstfit,interleaved_firstfit_improvement_vs_original_firstfit,original_firstfit_runtime_ms,two_phase_firstfit_runtime_ms,interleaved_firstfit_runtime_ms,original_firstfit_runtime_ratio_vs_original,two_phase_firstfit_runtime_ratio_vs_original,interleaved_firstfit_runtime_ratio_vs_original,two_phase_firstfit_runtime_ratio_vs_original_firstfit,interleaved_firstfit_runtime_ratio_vs_original_firstfit,original_firstfit_move_operations,two_phase_firstfit_move_operations,interleaved_firstfit_move_operations,two_phase_firstfit_replication_operations,interleaved_firstfit_replication_operations,two_phase_firstfit_final_replica_count,interleaved_firstfit_final_replica_count
50,10,0.2,10,1310.74,1295.42,1243.07,0.0116926,0.051628,48,125,189,2.60417,3.9375,8,8,8,3,2,3,3,1345.5,1345.5,1345.5,-0.026521,-0.026521,-0.026521,0,0,13,32,36,0.270833,0.666667,0.75,2.46154,2.76923,5,5,5,0,0,0,0
60,1,0,0,974.892,970.205,970.205,0.00480762,0.00480762,76,222,427,2.92105,5.61842,19,19,19,1,1,2,2,977.354,972.667,972.667,-0.00252518,0.00228244,0.00228244,0.00479551,0.00479551,11,47,46,0.144737,0.618421,0.605263,4.27273,4.18182,19,19,19,1,1,2,1
60,2,0,0,1324.19,1324.19,1324.19,0,0,107,210,514,1.96262,4.80374,12,12,12,0,0,0,0,1347.93,1347.93,1347.93,-0.0179248,-0.0179248,-0.0179248,0,0,18,50,60,0.168224,0.46729,0.560748,2.77778,3.33333,13,13,13,0,0,0,0
60,3,0,0,1585.11,1582.76,1582.76,0.00147842,0.00147842,146,326,571,2.23288,3.91096,18,18,18,1,1,1,1,1600.15,1586.49,1580.7,-0.00948976,-0.000873028,0.00277888,0.00853573,0.0121533,22,76,71,0.150685,0.520548,0.486301,3.45455,3.22727,15,15,17,1,3,1,2
60,4,0,0,1777.24,1777.24,1755.73,0,0.0121012,125,268,927,2.144,7.416,21,21,19,0,1,0,5,1786.3,1786.3,1765.48,-0.00509998,-0.00509998,0.00661691,0,0.0116574,32,90,88,0.256,0.72,0.704,2.8125,2.75,22,22,20,0,3,0,5
60,5,0,0,1376.37,1376.37,1376.37,0,0,82,192,596,2.34146,7.26829,11,11,11,0,0,0,0,1376.37,1376.37,1376.37,0,0,0,0,0,24,58,74,0.292683,0.707317,0.902439,2.41667,3.08333,11,11,11,0,0,0,0
60,6,0,0,2088.39,2058.23,2111.94,0.0144416,-0.0112794,115,304,501,2.64348,4.35652,19,19,16,2,1,2,1,2092.11,1952.89,2111.94,-0.00178219,0.0648805,-0.0112794,0.0665441,-0.00948029,35,100,91,0.304348,0.869565,0.791304,2.85714,2.6,19,19,16,1,2,2,1
60,7,0,0,1204.48,1202.13,1202.13,0.00194563,0.00194563,236,372,1235,1.57627,5.23305,24,24,24,1,1,1,1,1342.55,1340.2,1340.2,-0.114633,-0.112687,-0.112687,0.00174553,0.00174553,47,166,117,0.199153,0.70339,0.495763,3.53191,2.48936,23,23,23,1,1,1,1
60,8,0,0,1316.43,1314.09,1314.09,0.00178016,0.00178016,153,450,962,2.94118,6.28758,16,16,16,1,1,1,1,1316.43,1314.09,1314.09,0,0.00178016,0.00178016,0.00178016,0.00178016,29,133,120,0.189542,0.869281,0.784314,4.58621,4.13793,16,16,16,1,1,1,1
60,9,0,0,1307.08,1307.08,1307.08,0,0,270,301,453,1.11481,1.67778,21,21,21,0,0,0,0,1307.08,1307.08,1307.08,0,0,0,0,0,80,48,83,0.296296,0.177778,0.307407,0.6,1.0375,21,21,21,0,1,0,0
